,11Cl-PF3OUdS,4_2 FTS,6_2 diPAP,6_2 mono PAP,6_2_8_2 diPAP,8_2 diPAP,8_2 FTS,9Cl-PF3ONS,d3- MeFOSA,d3-MeFOSAA,d5-EtFOSA,D5-EtFOSAA,EtFOSA,EtFOSAA,EtFOSE,FOSA,FOSAA,FPePA,FPrPA,M 6_2 monoPAP,M2 6_2 FTS,M2PFDA,M2PFDoDA,M2PFHxA,M2PFUnDA,M3HFPO-DA,M4 6_2_6_2 diPAP,M4 8_2_8_2 diPAP,M4PFHpA,M4PFOS,M5PFNA,M5PFPeA,M8FOSA,M8PFOA,M8PFOS,MeFOSA,MeFOSAA,MeFOSE,MPFHxA,MPFHxS,MPFOA,NaDONA,PFBS,PFDA,PFDoDA,PFDS,PFHpA,PFHpS,PFHpS-br,PFHxA,PFHxDA,PFHxS,PFHxS-br,PFNA,PFNS,PFNS-br,PFOA,PFOcDA,PFOS,PFOS-br,PFPeA,PFPeDA,PFPeS,PFTeDA,PFTriDA,PFUnDA,PFUnDS
PB-3A,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.057,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.012,0.010,0,0,0,0,0,0,-0.015,0,0.023,0,0,-0.005,0,0.035,-0.021,0,0.041,0,0.026,0.184,0.081,0
PB-3B,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.053,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.008,0.004,0,0,0,0,0,0,-0.015,0,0.015,0,0,-0.007,0,0.030,0,0,0.017,0,0.018,0.167,0.071,0
PB-3C,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.039,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.000,0.000,0,0,0,0,0,0,-0.015,0,0.006,0,0,-0.010,0,0.012,-0.023,0,0.028,0,0.007,0.110,0.042,0
PB-4,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.071,0,0,0,1.000,0,1.000,1.000,1.000,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.057,0.030,-0.011,0,0,0,0,0,0.000,0,0.067,0,0,0,0,0.446,0.002,0,0.028,0,0.041,0.338,0.205,0
PB-5,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.049,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,0.012,0.008,0,0,0,0,0,0,-0.017,0,0.001,0,0,0,0,0.039,0,0,0,0,0.021,0.175,0.061,0
PL-1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,1.129,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,3.016,1.115,0.084,0,-0.002,0,0,0,0.039,0,1.774,-0.015,-0.021,0.035,0,11.302,0.255,0,1.135,0,1.074,5.550,7.049,0
PL-2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,0.940,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,2.665,1.228,0.056,0,-0.017,0,0,-0.002,-0.005,0,1.144,-0.021,0,0.012,0,4.082,0.073,0,0.889,0,0.865,5.370,7.551,0
PL-3A,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,2.053,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,3.126,1.443,0.103,0,0.021,0,0,0.008,0.120,0,1.624,-0.017,-0.021,0.048,0,11.697,0.423,0,1.286,0,1.177,7.340,8.079,0
PL-3B,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,2.179,0,0,0,1.000,0,1.000,1.000,1.000,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,3.379,1.506,0.106,0,0.017,0,0,0,0.117,0,1.654,-0.015,0,0.045,0,11.840,0.382,0,1.388,0,0.983,7.607,8.487,0
PL-3C,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,0,0,0,2.342,0,0,0,1.000,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0,0,0,0,1.000,1.000,0,0,3.524,1.622,0.117,0,0.024,0,0,-0.001,0.115,0,1.742,-0.014,-0.021,0.041,0,12.790,0.465,0,1.500,0,1.321,7.742,9.305,0
