name;SMILES;logIE;pH.aq.;polarity_index;viscosity;surface_tension;NH4;data_type
3-nitrobenzenesulphonamide;N[S](=O)(=O)c1cccc(c1)[N+]([O-])=O;1.48;10.5;8;0.84;30.026945;1;non-PFAS
perfluorooctanesulfonic acid;O=S(O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)=O;3.06;10.5;8;0.84;30.026945;1;non-PFAS
perfluoro-tert-butanol;OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F;1.72;10.5;8;0.84;30.026945;1;non-PFAS
myristic acid;CCCCCCCCCCCCCC(O)=O;2.01;10.5;8;0.84;30.026945;1;non-PFAS
2,3,4,5,6-pentafluoro-N-[(2,3,4,5,6-pentafluorophenyl)sulfonyl]-benzenesulfonamide;FC1=C(S(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)(=O)=O)C(F)=C(F)C(F)=C1F;2.44;10.5;8;0.84;30.026945;1;non-PFAS
4-methyl-N-[(4-nitrophenyl)sulfonyl]-benzenesulfonamide;O=S(NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)(C2=CC=C(C)C=C2)=O;2.5;10.5;8;0.84;30.026945;1;non-PFAS
sorbic acid;C/C=C/C=C/C(O)=O;-0.29;10.5;8;0.84;30.026945;1;non-PFAS
N-hydroxy-phthalimide;ON1C(=O)c2ccccc2C1=O;-0.23;10.5;8;0.84;30.026945;1;non-PFAS
4-aminobutanoic acid;NCCCC(O)=O;-1.46;10.5;8;0.84;30.026945;1;non-PFAS
benzoic acid;OC(=O)c1ccccc1;0;10.5;6.68;0.57;32.18706944;1;non-PFAS
3,5-dinitrobenzoic acid;OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O;0.79;10.5;6.68;0.57;32.18706944;1;non-PFAS
3-trifluoromethylbenzoic acid;OC(=O)c1cccc(c1)C(F)(F)F;1.16;10.5;6.68;0.57;32.18706944;1;non-PFAS
pentafluorophenol;Oc1c(F)c(F)c(F)c(F)c1F;0.91;10.5;6.68;0.57;32.18706944;1;non-PFAS
4-tert-butylbenzoic acid;CC(C)(C)c1ccc(cc1)C(O)=O;1.2;10.5;6.68;0.57;32.18706944;1;non-PFAS
4-(pentafluorophenyl)-2,3,5,6-tetrafluorophenol;Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F;2.17;10.5;6.68;0.57;32.18706944;1;non-PFAS
pentakis(trifluoromethyl)phenol;Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F;2.3;10.5;6.68;0.57;32.18706944;1;non-PFAS
4-phenylphenol;Oc1ccc(cc1)c2ccccc2;0.35;10.5;6.68;0.57;32.18706944;1;non-PFAS
2-phenylphenol;Oc1ccccc1c2ccccc2;-0.01;10.5;6.68;0.57;32.18706944;1;non-PFAS
