Compound,Filename,Area,RT,Theoretical_amt,SMILES,IC,Molecular_weight,area_IC,Theoretical_conc_uM,logIE_predicted_LOO,logIE_predicted,logIE,model_nr,slope,name,slope_pred,conc_pred_uM,conc_pred_pg_uL
ADONA,QCN-BL,15739704,3.63,NA,OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,108.7910355,378.069,1712338696,NA,2.029380322,2.029380322,2.3207921,model_18,1.93579E+11,NaDONA,1.00729E+11,0.016999384,6.426940075
ADONA,QCN-CL,13585624,3.635,NA,OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,108.7910355,378.069,1477994103,NA,2.029380322,2.029380322,2.3207921,model_18,1.93579E+11,NaDONA,1.00729E+11,0.014672909,5.547371877
PFBS,QCN-AL,11922857,2.55,NA,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,110.5143441,300.1,1317646721,NA,1.919374943,1.919374943,2.401838746,model_19,2.33163E+11,PFBS,77034497544,0.017104632,5.13310002
PFBS,QCN-BL,15696492,2.55,NA,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,110.5143441,300.1,1734687517,NA,1.919374943,1.919374943,2.401838746,model_19,2.33163E+11,PFBS,77034497544,0.022518321,6.757748029
PFBS,QCN-CL,13203890,2.55,NA,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,110.5143441,300.1,1459219242,NA,1.919374943,1.919374943,2.401838746,model_19,2.33163E+11,PFBS,77034497544,0.018942413,5.684618043
PFDA,QCN-AL,13043571,4.97,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,111.7531369,514.083,1457659976,NA,2.268279552,2.268279552,2.093423862,model_20,1.14564E+11,PFDA,1.71961E+11,0.008476666,4.357709871
PFDA,QCN-BL,17912259,4.97,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,111.7531369,514.083,2001751133,NA,2.268279552,2.268279552,2.093423862,model_20,1.14564E+11,PFDA,1.71961E+11,0.011640695,5.984283587
PFDA,QCN-CL,13026265,4.97,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,111.7531369,514.083,1455725976,NA,2.268279552,2.268279552,2.093423862,model_20,1.14564E+11,PFDA,1.71961E+11,0.008465419,4.351928132
PFDoDA,QCN-AL,13584803,5.82,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,114.1619405,614.098,1550867472,NA,2.225398779,2.225398779,2.299583647,model_21,1.8428E+11,PFDoDA,1.61605E+11,0.009596643,5.893279046
PFDoDA,QCN-BL,17640289,5.82,NA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,114.1619405,614.098,2013849624,NA,2.225398779,2.225398779,2.299583647,model_21,1.8428E+11,PFDoDA,1.61605E+11,0.012461539,7.652606043
